municipality,state,Country,admin_scale,lat,lng,passed,policy_summary,range,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO
Fremont,California,NA,City,37.565285,-121.982721,TRUE,A temporary moratorium on evictions of residential tenants.,2,Eviction Protection,https://www.fremont.gov/3599/Temporary-Moratorium-on-Evictions,https://actionnetwork.org/letters/fremont-eviction-moratorium-during-covid-19-coronavirus-crisis/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8.5,8,4,-3.5,1,-3,0,4,-1,-2,1,NA
San Bernadino,California,NA,City,34.104794,-117.29215,TRUE,NA,2,Eviction Protection,http://www.sbcity.org/documents/CM%20Executive%20Order%20No.%202020-01%20Moratorim%20on%20Housing%20Displacement%203-20-2020.pdf,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",10,8,2,-2,0,-1,0,4,0,-2,1,NA
Illinois,Illinois,NA,State,40.102875,-89.152611,TRUE,NA,3,NA,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-30.aspx,NA,Eviction Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines.",0.5,0,0,1,0,0,0,2,0,-2.5,0,NA
Chicago,Illinois,NA,City,41.88531,-87.62213,FALSE,"#RentFreezeNow calls for an indefinite freeze on collection of all rent, mortgage, and utility payments throughout the duration of the crisis. The freeze must operate as a waiver of payments, not a deferral in which people will find themselves saddled by debt after the crisis. Additionally, for the Circuit Court to close all court filings for evictions and foreclosures, for the city to house residents experiencing homelessness immediately, and for landlords and/or city officials to grant automatic lease extensions to tenants unable to move during the crisis.",3,NA,https://actionnetwork.org/petitions/rent-freeze-in-chicago-now?hash=6db78e6bab0bb6933651ba22d4fbfe95,NA,Eviction Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines.",0.5,0,0,1,0,0,0,2,0,-2.5,0,NA
Mountain View,California,NA,City,37.189396,-121.705327,TRUE,NA,2,Eviction Protection,https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=32122,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",5,8,2,-3.5,0,-1,0,2,-0.5,-2,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,2,0,0,0,NA
Michigan,Michigan,NA,State,44.844176,-85.660493,TRUE,"Tenants and mobile home owners to remain in their homes during the COVID-19 pandemic even if they are unable to stay current on their rent. The order also relieves courts from certain statutory restrictions to enable them to stay eviction-related proceedings until after the COVID-19 emergency has passed. The executive order takes effect immediately and will remain in effect until July 25, 2020.",3,NA,https://courts.michigan.gov/Courts/MichiganSupremeCourt/rules/court-rules-admin-matters/Administrative%20Orders/2020-08_2020-04-16_FormattedOrder_AO2020-8.pdf,NA,Eviction Cases Suspended,"Governor Gretchen Whitmer's order suspends service of process and execution of eviction orders unless the tenant poses a ""risk to another person or an imminent and severe risk to property."" Michigan's courts may still hear existing civil cases remotely. Court deadlines and deadlines to commence civil actions are tolled. Property owners must submit verification that the property is exempt from the federal CARES Act moratorium.",-1.5,0,0,2,0,0,0,2,0,-5.5,0,NA
East Palo Alto,California,NA,City,37.444122,-122.149915,TRUE,Ordinance Establishing a Temporary Moratorium on Eviction for Non-Payment of Rent by Residential Tenants Directly Impacted by the COVID-19 Pandemic,1,Eviction Protection,http://eastpaloalto.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1076,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",15,8,4,1,0,-1,0,4,0,-2,1,NA
Collin County,Texas,NA,County,31.434703,-99.281824,TRUE,"Due to COVID-19 Collin County Justice Courts issued an order stating that no eviction settings (both residential and commercial) will be held until after May 8, 2020. No writs
of possession will be issued by a Justice Court until May 8, 2020.",3,NA,https://www.collincountytx.gov/justices_peace/Documents/COVID-19%20Order%2001.pdf,NA,Eviction Cases & Enforcement Suspended,"The Texas Supreme Court has suspended all eviction proceedings and hearings until 4/30/20. New filings are accepted but issuances of service and citation may not occur until 4/30/20. Execution of writ of possessions may be issued but the written warning and execution may not occur until after 5/7/20 However, there are limited exceptions, evictions can proceed if the occupants ""are engaging in criminal activity"" or ""pose an imminent physical threat.""",1,0,0,2,0,0,0,2,0,-3,0,NA
New Hampshire,New Hampshire,NA,State,43.672691,-71.584315,TRUE,The governor has placed a moratorium on all evictions and foreclosures. Landlords who violate this order can be subject to penalties. Tenants are still required to pay rent aned homeowners are still required to make mortgage payments.,1,Eviction Protection,https://www.governor.nh.gov/news-media/press-2020/documents/emergency-order-4.pdf,http://granitestateorganizing.org/covid-19-resources/,Eviction Cases & Enforcement Suspended,The Governor's office signed an emergency order halting eviction and foreclosure proceedings during the crisis. The order excludes evictions for lease or law violations that result in substantial damage to the property or substantial adverse impact on the health and safety of other persons. It does not apply to abandonement. It preempts any local orders.,13,8,5,2,0,0,0,2,-0.5,-3.5,0,NA
